id,treatment,fulfillment1q,fulfillment1s1,fulfillment1s2,fulfillment2q,fulfillment2s1,fulfillment2s2,fulfillment3q,fulfillment3s1,fulfillment3s2,fulfillment4q,fulfillment4s1,fulfillment4s2,fulfillment5q,fulfillment5s1,fulfillment5s2,fulfillment6q,fulfillment6s1,fulfillment6s2,justice1q,justice1s1,justice1s2,justice2q,justice2s1,justice2s2,justice3q,justice3s1,justice3s2,justice4q,justice4s1,justice4s2,justice5q,justice5s1,justice5s2,justice6q,justice6s1,justice6s2,control1fulfillment,control1justice,control2,age,gender,income,education,state,space,persons,politics
86,2,,,,,,,,,,,,,,,,,,,3,-2,2,3,-3,2,3,-4,2,1,-1,-1,1,-2,-2,1,-2,-2,,3,4,25,3,0,7,9,30,2,6
87,1,3,-50,-10,3,-67,-20,3,-75,-30,1,-20,-20,1,-40,-40,1,-60,-60,,,,,,,,,,,,,,,,,,,3,,4,26,3,300,8,9,120,5,3
88,2,,,,,,,,,,,,,,,,,,,3,-2,-.5,3,-3,-1,3,-1,-2,2,-1,-1.5,1,-1,-1,1,-5,-5,,3,4,25,1,300,4,9,45,2,3
89,2,,,,,,,,,,,,,,,,,,,3,0,1,3,0,1,3,0,1,2,1,0,1,0,0,1,0,0,,3,4,20,1,0,4,9,50,1,1
90,1,2,-20,-20,2,-40,-40,3,60,40,1,-5,-35,1,-16,-80,1,-24,-120,,,,,,,,,,,,,,,,,,,3,,4,,1,9200,11,2,150,3,3
91,2,,,,,,,,,,,,,,,,,,,1,-3,-3,1,-4,-4,1,-5,-5,2,-2,-5,2,-2,-5,3,-3,-2,,3,4,21,3,700,4,9,22,1,1
92,1,3,-2,-.2,3,-3,-1,3,-4,-2,1,-.5,-.5,1,-1.8,-1.8,1,-2,-2,,,,,,,,,,,,,,,,,,,3,,4,,3,500,4,9,60,2,1
93,2,,,,,,,,,,,,,,,,,,,3,-8,0,3,-5,0,3,-8,0,1,0,0,1,0,0,1,0,0,,3,3,25,3,900,4,9,78,2,4
94,2,,,,,,,,,,,,,,,,,,,3,-50,-10,1,0,0,3,-30,-10,1,0,0,1,-40,-40,1,-40,-40,,3,3,22,1,1000,4,9,50,1,4
95,1,3,-3,5,3,-5,5,1,0,0,1,2,0,1,0,0,3,-5,-2,,,,,,,,,,,,,,,,,,,3,,4,19,1,500,4,9,,4,4
96,2,,,,,,,,,,,,,,,,,,,3,-50,-10,3,-40,-20,3,-60,-15,2,-5,-25,1,-4,-4,1,-60,-60,,3,4,20,1,0,4,9,165,4,3
97,2,,,,,,,,,,,,,,,,,,,3,-5,0,3,-7,-1,3,-10,-1,1,0,0,3,-5,-2,1,-10,-10,,3,4,22,1,0,4,5,50,2,1
